size,n_patches,nprocs,runtime
200,20,1,1.010060662869364
200,20,1,0.9096710090525448
200,20,1,0.9096733774058521
200,20,2,0.5125175388529897
200,20,2,0.5129403467290103
200,20,2,0.5128810838796198
200,20,4,0.31487668910995126
200,20,4,0.3146330318413675
200,20,4,0.3142168982885778
200,20,8,0.21909705502912402
200,20,8,0.21881113201379776
200,20,8,0.21902997698634863
200,20,16,0.22822736809030175
200,20,16,0.2285957746207714
200,20,16,0.12805801909416914
200,20,24,0.1390104261226952
200,20,24,0.1381938448175788
200,20,24,0.2393192402087152
200,20,32,0.1497275079600513
200,20,32,0.1495107850059867
200,20,32,0.25074822595342994
1000,20,1,23.05807719519362
1000,20,1,21.254453810863197
1000,20,1,21.556600615847856
1000,20,2,10.842505742795765
1000,20,2,10.741782370954752
1000,20,2,10.841574291232973
1000,20,4,5.334759757854044
1000,20,4,5.436018264852464
1000,20,4,5.436671988107264
1000,20,8,2.7357364697381854
1000,20,8,2.7350646490231156
1000,20,8,2.735957708209753
1000,20,16,1.4426505416631699
1000,20,16,1.443472569808364
1000,20,16,1.4427812439389527
1000,20,24,1.154024192597717
1000,20,24,1.0583236101083457
1000,20,24,1.0542739857919514
1000,20,32,0.8679019520059228
1000,20,32,0.8642919082194567
1000,20,32,0.8622142747044563
